Ethel Cain,4807.13
Britney Spears,375.07
Chappell Roan,365.81
Lana Del Rey,233.44
Weyes Blood,188.74
Charli xcx,145.44
Jiafei,122.51
Men I Trust,109.13
Doja Cat,104.35
Oklou,99.97
Reneé Rapp,97.50
cupcakKe,96.50
FKA twigs,79.68
Wolf Alice,75.31
Florence + the Machine,75.17
Beyoncé,72.56
田馥甄,66.78
The Marías,64.49
Racing Mount Pleasant,39.10
Carlos Rafael Rivera,32.52
Jiafei & cupcakKe,31.35
MXZI,28.00
ROSALÍA,26.21
Geordie Greep,24.20
Lady Gaga,23.53
周杰伦,22.46
"Tyler, The Creator",21.35
Lily Allen,21.23
Angel Olsen,17.43
PinkPantheress,17.11
Clairo,16.90
Oklou & underscores,15.53
underscores,15.53
Yeat & FKA twigs,15.20
Yeat,15.20
Addison Rae,11.73
Radiohead,11.70
Tim Heidecker & Weyes Blood,11.13
Tim Heidecker,11.13
Dua Lipa,10.96
Magdalena Bay,10.08
Sting,8.87
Fiona Apple,8.27
BLACKPINK,8.20
Arca,8.12
S.H.E,8.05
Lady Gaga & Beyoncé,7.33
Charli xcx & Lorde,6.83
Lorde,6.83
Viagra Boys,6.40
"Jay-Z, Kanye West, Bon Iver, Rick Ross & Nicki Minaj",6.30
"Jay-Z, Kanye West, Bon Iver, Rick Ross",6.30
Nicki Minaj,6.30
Wet Leg,6.10
Oklou & Bladee,5.70
Bladee,5.70
Ichiko Aoba,4.92
Shygirl,4.50
Frank Ocean,4.47
Kylie Minogue & Dua Lipa,4.37
Kylie Minogue,4.37
Adrianne Lenker,4.32
Christina Aguilera,4.28
De Lorra,4.15
Cosmo,4.10
Beach House,4.07
Florence + the Machine & Jules Buckley,3.70
Jules Buckley,3.70
Danny Keane,3.62
Taylor Swift,3.58
Florence + the Machine & Glass Animals,3.50
Glass Animals,3.50
Elton John & Dua Lipa,3.37
Elton John,3.37
Arca & Sia,3.30
Sia,3.30
ROSALÍA & Rauw Alejandro,3.23
Rauw Alejandro,3.23
FKA twigs & Koreless,3.18
Koreless,3.18
ROSALÍA & The Weeknd,3.13
The Weeknd,3.13
The xx,2.95
Владимир Ферапонтов,2.80
Charli xcx & Ariana Grande,2.57
Ariana Grande,2.57
SZA,2.55
Charli xcx & Tinashe,2.55
Tinashe,2.55
Shygirl & SG Lewis,2.48
SG Lewis,2.48
Charli xcx & Billie Eilish,2.38
Billie Eilish,2.38
Charli xcx & Kesha,2.37
Kesha,2.37
"Charli xcx, Robyn & Yung Lean",2.15
"Charli xcx, Robyn",2.15
Yung Lean,2.15
Charli xcx & Shygirl,2.02
SOPHIE,1.97
