Lana Del Rey,308.43
Ethel Cain,220.32
FKA twigs,99.98
Hana,58.82
Racing Mount Pleasant,54.70
Björk,42.99
Arca,38.30
Taylor Swift,35.38
Florence + the Machine,30.32
Oklou,20.61
Adele,18.50
Beyoncé,18.37
Viagra Boys,18.18
ROSALÍA,14.46
Vyva Melinkolya,13.60
Charli xcx,13.45
HANA,10.13
Lady Gaga,9.98
"Tyler, The Creator",9.32
Herman's Hermits,9.20
Britney Spears,7.90
Jamie xx,7.87
Oklou & underscores,7.77
underscores,7.77
Justin Timberlake,7.63
Lana Del Rey & Cedric Gervais,7.35
Cedric Gervais,7.35
Cristobal Tapia De Veer,6.80
FKA twigs & Koreless,6.37
Koreless,6.37
Geordie Greep,6.05
cupcakKe,6.04
Lana Del Rey & Father John Misty,5.02
Father John Misty,5.02
Lana Del Rey & Barrie O'Neill,4.50
Barrie O'Neill,4.50
Lana Del Rey & Clams Casino,4.50
Clams Casino,4.50
Chappell Roan,4.20
Lana Del Rey & Adam Cohen,3.62
Adam Cohen,3.62
Lady Gaga & Bradley Cooper,3.58
Bradley Cooper,3.58
Flying Lotus,3.42
Charli xcx & Caroline Polachek,3.38
Caroline Polachek,3.38
Katy Perry & 3OH!3,3.38
Katy Perry,3.38
3OH!3,3.38
王菲,3.27
ROSALÍA & Rauw Alejandro,3.23
Rauw Alejandro,3.23
ROSALÍA & The Weeknd,3.13
The Weeknd,3.13
Stephen Sanchez,2.95
Nina Simone,2.78
JENNIE,2.75
Doja Cat,2.72
"Charli xcx, Addison Rae & A. G. Cook",2.62
"Charli xcx, Addison Rae",2.62
A. G. Cook,2.62
Charli xcx & Tinashe,2.55
Tinashe,2.55
Ariana Grande,1.53
MXZI,1.40
